작성팀 (일자),Level(*),L1,L2,L3,L4,L5,L6,필요인력,필요기간,MM,정의,프로세스 오너부서(L5),산출물(L5),선행 프로세스(L5),후행 프로세스(L5),준수지표(L5),소요기간(L5),수행주기(L5),참여(L5),바로가기 URL(L5),업무담당부서(L6),참여부서(L6),시스템,작업방식(L6),후행 액티비티(L6),L6의 선행 L5,L6의 후행 L5,수행 milestone
기획팀 (2024-01),L4,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,,,0,0,0,제품 기획 및 전략 수립 단계,,,,,,,,,,,,,,,,,
기획팀 (2024-01),L5,전략기획,제품개발,스마트홈프로젝트,[Planning]기획,시장조사,,3,4,12,시장 동향 및 경쟁사 분석,기획팀,시장조사보고서,,요구사항분석,완료율 90%,4주,분기별,기획팀/마케팅팀,,,,,,,,,M1
품질팀 (2025-02),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,성능테스트,스트레스테스트,1,1,1,극한 상황 스트레스 테스트,,,,,,,,,,,품질팀,인프라팀,JMeter,테스트,성능튜닝,성능테스트,,M15
품질팀 (2025-02),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,성능테스트,성능튜닝,1,2,2,성능 병목 지점 개선,,,,,,,,,,,품질팀,개발팀,수작업,튜닝,,,성능테스트,M15
품질팀 (2025-03),L5,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,사용자테스트,,4,3,12,사용자 수용 테스트,품질팀,사용자테스트보고서,성능테스트,보안테스트,만족도 85%,3주,프로젝트별,품질팀/기획팀,,,,,,,,,M16
품질팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,사용자테스트,사용성테스트,2,1,2,UI/UX 사용성 테스트,,,,,,,,,,,품질팀,기획팀,수작업,테스트,베타테스트,사용자테스트,,M16
품질팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,사용자테스트,베타테스트,2,2,4,실제 사용자 베타 테스트,,,,,,,,,,,품질팀,마케팅팀,수작업,테스트,피드백수집,사용자테스트,,M16
품질팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,사용자테스트,피드백수집,1,1,1,사용자 피드백 수집 및 분석,,,,,,,,,,,품질팀,기획팀,설문조사,분석,,,사용자테스트,M16
보안팀 (2025-03),L5,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,보안테스트,,3,4,12,시스템 보안 취약점 테스트,보안팀,보안테스트보고서,사용자테스트,배포준비,취약점 0개,4주,프로젝트별,보안팀/외부업체,,,,,,,,,M17
보안팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,보안테스트,취약점스캔,1,2,2,자동화된 보안 취약점 스캔,,,,,,,,,,,보안팀,외부업체,OWASP ZAP,테스트,침투테스트,보안테스트,,M17
보안팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,보안테스트,침투테스트,1,2,2,실제 공격 시나리오 침투 테스트,,,,,,,,,,,보안팀,외부업체,수작업,테스트,데이터보안테스트,보안테스트,,M17
보안팀 (2025-03),L6,전략기획,제품개발,스마트홈프로젝트,[Testing]테스트,보안테스트,데이터보안테스트,1,1,1,개인정보 및 데이터 보안 테스트,,,,,,,,,,,보안팀,,수작업,테스트,,,보안테스트,M17
운영팀 (2025-04),L4,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,,,0,0,0,시스템 배포 및 운영 단계,,,,,,,,,,,,,,,,,
운영팀 (2025-04),L5,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,배포준비,,3,3,9,운영 환경 배포 준비,운영팀,배포계획서,보안테스트,운영배포,완료율 100%,3주,프로젝트별,운영팀/개발팀,,,,,,,,,M18
운영팀 (2025-04),L6,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,배포준비,배포계획수립,1,1,1,상세 배포 계획 및 절차 수립,,,,,,,,,,,운영팀,개발팀,수작업,계획수립,환경구축,배포준비,,M18
운영팀 (2025-04),L6,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,배포준비,환경구축,1,2,2,운영 환경 인프라 구축,,,,,,,,,,,운영팀,인프라팀,Ansible,구축,데이터이관,배포준비,,M18
운영팀 (2025-04),L6,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,배포준비,데이터이관,1,1,1,기존 데이터 이관 및 검증,,,,,,,,,,,운영팀,DBA,수작업,이관,,,배포준비,M18
운영팀 (2025-04),L5,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,운영배포,,2,2,4,실제 운영 환경 배포,운영팀,배포완료보고서,배포준비,운영모니터링,성공률 100%,2주,릴리즈별,운영팀,,,,,,,,,M18
운영팀 (2025-04),L6,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,운영배포,블루그린배포,1,1,1,무중단 블루-그린 배포,,,,,,,,,,,운영팀,개발팀,Jenkins,배포,배포검증,운영배포,,M18
운영팀 (2025-04),L6,전략기획,제품개발,스마트홈프로젝트,[Deployment]배포,운영배포,배포검증,1,1,1,배포 후 시스템 정상성 검증,,,,,,,,,,,운영팀,품질팀,수작업,검증,,,운영배포,M18
운영팀 (2025-05),L5,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,운영모니터링,,5,12,60,시스템 운영 및 모니터링,운영팀,운영보고서,운영배포,유지보수,가용성 99.9%,연중,일별,운영팀/인프라팀,,,,,,,,,M19
운영팀 (2025-05),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,운영모니터링,시스템모니터링,2,6,12,시스템 성능 및 가용성 모니터링,,,,,,,,,,,운영팀,인프라팀,Grafana,모니터링,장애대응,운영모니터링,,M19
운영팀 (2025-05),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,운영모니터링,장애대응,1,2,2,시스템 장애 감지 및 대응,,,,,,,,,,,운영팀,개발팀,PagerDuty,대응,로그분석,운영모니터링,,M19
운영팀 (2025-05),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,운영모니터링,로그분석,1,2,2,시스템 로그 분석 및 이슈 추적,,,,,,,,,,,운영팀,,ELK Stack,분석,백업관리,운영모니터링,,M19
운영팀 (2025-05),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,운영모니터링,백업관리,1,2,2,데이터 백업 및 복구 관리,,,,,,,,,,,운영팀,DBA,자동화,관리,,,운영모니터링,M19
개발팀 (2025-06),L5,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,유지보수,,4,24,96,시스템 유지보수 및 개선,개발팀,유지보수보고서,운영모니터링,,버그수정률 95%,연중,월별,개발팀/운영팀,,,,,,,,,M20
개발팀 (2025-06),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,유지보수,버그수정,2,12,24,운영 중 발견된 버그 수정,,,,,,,,,,,개발팀,품질팀,수작업,개발,기능개선,유지보수,,M20
개발팀 (2025-06),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,유지보수,기능개선,1,6,6,사용자 요청 기능 개선,,,,,,,,,,,개발팀,기획팀,수작업,개발,성능개선,유지보수,,M20
개발팀 (2025-06),L6,전략기획,제품개발,스마트홈프로젝트,[Operation]운영,유지보수,성능개선,1,6,6,시스템 성능 최적화 및 개선,,,,,,,,,,,개발팀,인프라팀,수작업,최적화,,,유지보수,M20
